Spark Command: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java -cp /opt/spark-2.3.4-bin-hadoop2.7/conf/:/opt/spark-2.3.4-bin-hadoop2.7/jars/* -Xmx1g org.apache.spark.deploy.master.Master --host 708f41e96a732a6ae46d6b41b8a0c614aeaae89d-69f85b6554-j5tsq --port 7077 --webui-port 8080
========================================
2024-03-23 09:48:38 INFO  Master:2612 - Started daemon with process name: 2693@708f41e96a732a6ae46d6b41b8a0c614aeaae89d-69f85b6554-j5tsq
2024-03-23 09:48:39 INFO  SignalUtils:54 - Registered signal handler for TERM
2024-03-23 09:48:39 INFO  SignalUtils:54 - Registered signal handler for HUP
2024-03-23 09:48:39 INFO  SignalUtils:54 - Registered signal handler for INT
2024-03-23 09:48:40 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2024-03-23 09:48:40 INFO  SecurityManager:54 - Changing view acls to: root
2024-03-23 09:48:40 INFO  SecurityManager:54 - Changing modify acls to: root
2024-03-23 09:48:40 INFO  SecurityManager:54 - Changing view acls groups to: 
2024-03-23 09:48:40 INFO  SecurityManager:54 - Changing modify acls groups to: 
2024-03-23 09:48:40 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2024-03-23 09:48:41 WARN  Utils:66 - Service 'sparkMaster' could not bind on port 7077. Attempting port 7078.
2024-03-23 09:48:41 INFO  Utils:54 - Successfully started service 'sparkMaster' on port 7078.
2024-03-23 09:48:41 INFO  Master:54 - Starting Spark master at spark://708f41e96a732a6ae46d6b41b8a0c614aeaae89d-69f85b6554-j5tsq:7078
2024-03-23 09:48:41 INFO  Master:54 - Running Spark version 2.3.4
2024-03-23 09:48:41 INFO  log:192 - Logging initialized @4252ms
2024-03-23 09:48:41 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2024-03-23 09:48:41 INFO  Server:419 - Started @4459ms
2024-03-23 09:48:42 WARN  Utils:66 - Service 'MasterUI' could not bind on port 8080. Attempting port 8081.
2024-03-23 09:48:42 WARN  Utils:66 - Service 'MasterUI' could not bind on port 8081. Attempting port 8082.
2024-03-23 09:48:42 WARN  Utils:66 - Service 'MasterUI' could not bind on port 8082. Attempting port 8083.
2024-03-23 09:48:42 WARN  Utils:66 - Service 'MasterUI' could not bind on port 8083. Attempting port 8084.
2024-03-23 09:48:42 INFO  AbstractConnector:278 - Started ServerConnector@19bd4ff{HTTP/1.1,[http/1.1]}{0.0.0.0:8084}
2024-03-23 09:48:42 INFO  Utils:54 - Successfully started service 'MasterUI' on port 8084.
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6e824e49{/app,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@556114c3{/app/json,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5fcab2c4{/,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1b291d63{/json,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@46b3c5c9{/static,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2dc50618{/app/kill,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7ed80930{/driver/kill,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  MasterWebUI:54 - Bound MasterWebUI to 0.0.0.0, and started at http://708f41e96a732a6ae46d6b41b8a0c614aeaae89d-69f85b6554-j5tsq:8084
2024-03-23 09:48:42 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2544e306{/,null,AVAILABLE}
2024-03-23 09:48:42 WARN  Utils:66 - Service could not bind on port 6066. Attempting port 6067.
2024-03-23 09:48:42 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2deaedd1{/,null,AVAILABLE}
2024-03-23 09:48:42 INFO  AbstractConnector:278 - Started ServerConnector@728b4b7f{HTTP/1.1,[http/1.1]}{708f41e96a732a6ae46d6b41b8a0c614aeaae89d-69f85b6554-j5tsq:6067}
2024-03-23 09:48:42 INFO  Server:419 - Started @5064ms
2024-03-23 09:48:42 INFO  Utils:54 - Successfully started service on port 6067.
2024-03-23 09:48:42 INFO  StandaloneRestServer:54 - Started REST server for submitting applications on port 6067
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3d699f2b{/metrics/master/json,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4c8a3c58{/metrics/applications/json,null,AVAILABLE,@Spark}
2024-03-23 09:48:42 INFO  Master:54 - I have been elected leader! New state: ALIVE
